time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-13 00:00:00+00:00,467,129,0,0
2022-07-14 00:00:00+00:00,278,98,10,2
2022-07-15 00:00:00+00:00,1,1,172,6
2022-07-16 00:00:00+00:00,44,4,6,3
2022-07-17 00:00:00+00:00,0,0,29,3
2022-07-18 00:00:00+00:00,229,5,366,7
2022-07-19 00:00:00+00:00,223,7,35,6
2022-07-20 00:00:00+00:00,19,17,15,4
2022-07-21 00:00:00+00:00,2310,87,173,8
2022-07-22 00:00:00+00:00,1329,131,107,6
2022-07-23 00:00:00+00:00,902,135,0,0
2022-07-24 00:00:00+00:00,262,104,1,1
2022-07-25 00:00:00+00:00,1150,149,88,11
2022-07-26 00:00:00+00:00,1234,136,27,4
2022-07-27 00:00:00+00:00,798,136,17,4
2022-07-28 00:00:00+00:00,173,85,53,2
2022-07-29 00:00:00+00:00,3,2,37,5
2022-07-30 00:00:00+00:00,271,92,34,6
2022-07-31 00:00:00+00:00,298,94,83,5
2022-08-01 00:00:00+00:00,259,59,62,6
2022-08-02 00:00:00+00:00,41,2,16,4
2022-08-03 00:00:00+00:00,247,76,51,4
2022-08-04 00:00:00+00:00,1104,144,34,5
2022-08-05 00:00:00+00:00,1315,138,37,6
2022-08-06 00:00:00+00:00,931,130,16,3
2022-08-07 00:00:00+00:00,863,125,27,2
2022-08-08 00:00:00+00:00,976,124,65,3
2022-08-09 00:00:00+00:00,720,119,40,6
2022-08-10 00:00:00+00:00,1930,144,222,3
2022-08-11 00:00:00+00:00,989,121,21,3
2022-08-12 00:00:00+00:00,1457,136,53,9
2022-08-13 00:00:00+00:00,1334,125,5,2
2022-08-14 00:00:00+00:00,1041,118,1,1
2022-08-15 00:00:00+00:00,2184,124,48,5
2022-08-16 00:00:00+00:00,2921,156,76,9
2022-08-17 00:00:00+00:00,3158,152,139,10
2022-08-18 00:00:00+00:00,2257,152,96,13
2022-08-19 00:00:00+00:00,2497,123,68,9
2022-08-20 00:00:00+00:00,1601,128,0,0
2022-08-21 00:00:00+00:00,495,113,20,4
2022-08-22 00:00:00+00:00,148,41,44,7
2022-08-23 00:00:00+00:00,190,57,32,6
2022-08-24 00:00:00+00:00,235,84,80,9
2022-08-25 00:00:00+00:00,430,101,30,4
2022-08-26 00:00:00+00:00,1342,121,190,10
2022-08-27 00:00:00+00:00,725,122,6,2
2022-08-28 00:00:00+00:00,1331,138,24,4
2022-08-29 00:00:00+00:00,1755,150,55,9
2022-08-30 00:00:00+00:00,838,134,43,5
2022-08-31 00:00:00+00:00,932,140,54,6
2022-09-01 00:00:00+00:00,684,135,19,5
2022-09-02 00:00:00+00:00,741,118,12,5
2022-09-03 00:00:00+00:00,609,115,6,2
2022-09-04 00:00:00+00:00,523,109,6,4
2022-09-05 00:00:00+00:00,628,111,16,3
2022-09-06 00:00:00+00:00,520,129,23,4
2022-09-07 00:00:00+00:00,1006,153,18,5
2022-09-08 00:00:00+00:00,1439,154,16,3
2022-09-09 00:00:00+00:00,1745,144,147,9
2022-09-10 00:00:00+00:00,1586,141,2,2
2022-09-11 00:00:00+00:00,927,131,26,2
2022-09-12 00:00:00+00:00,1203,150,28,3
2022-09-13 00:00:00+00:00,1811,163,52,11
2022-09-14 00:00:00+00:00,1644,167,38,7
2022-09-15 00:00:00+00:00,1245,150,59,9
2022-09-16 00:00:00+00:00,1003,142,1,1
2022-09-17 00:00:00+00:00,802,134,9,3
2022-09-18 00:00:00+00:00,1104,140,135,6
2022-09-19 00:00:00+00:00,1506,160,9,3
2022-09-20 00:00:00+00:00,1434,151,32,5
2022-09-21 00:00:00+00:00,1745,152,57,7
2022-09-22 00:00:00+00:00,2704,163,27,4
2022-09-23 00:00:00+00:00,2629,131,21,8
